,product code,review,date,score
122,20138496470,가끔씩 음성인식의 오류가 있지만(같은 명령어에 대한 반응이 달라요) 아이가 놀이할 때 노래 들려주기에 좋아요. 아이가 노래를 듣고 싶으면 ‘카카오’ 하면서 노래를 틀어달라고 해요. 큰 불편없이 아주 자~알 사용하고 있습니다.,19.07.10.,4
123,20138496470,빠른 배송 좋아요.  아이가 좋아해요,19.07.10.,5
124,20138496470,좋아여좋아요조하욘조하욘,19.07.10.,5
125,20138496470,일단 크기 비교를 위해 치실을 찍은 점은 죄송하다. 하지만 이쁘면 된 것 아닌가?생각보다 아담하고 어디에다 놓아도 어울리는 디자인이다. 라이언은 안 달았다. 어차피 떨어질거 같아서. 카카오 잘 만들었다. 근데 벅스랑은 연결이 안되고 무조건 멜론인가?한 번 찾아봐야겠다. 가격도 블루투스 스피커랑 비교했을 때 많이 차이가 안 나서 좋다. 근데 블루투스 스피커 역할은 안하는거 같은데...아직 작동법을 모른다. 공부해야 한다. 암튼 이쁘다. 그거면 됐다.,19.07.09.,5
126,20138496470,지인부탁으로 제것하고 두개구매했어요좋아요 헤이카카오,19.07.09.,5
127,20138496470,좋아요 배송도빠르고,19.07.09.,4
128,20138496470,좋아요 헤이카카오  너무좋아요,19.07.09.,5
129,20138496470,아이 장난감이 됐네요,19.07.08.,5
130,20138496470,정말 빠른 배송 감사합니다박스포장 깔끔하고감사합니다,19.07.08.,5
131,20138496470,빠른 배송 감사합니다급하게 필요했는데감사합니다,19.07.08.,5
132,20138496470,잘사용하고 있습니당  잘 사용하고 있습니다  잘 사용하고 있습니당,19.07.08.,5
133,20138496470,친구 생일선물 주려고 구매함니다,19.07.07.,5
134,20138496470,너무만족합니다근데 피규어는 걸쳐놓는거라 그냥 떨어지네요....ㄷㄷㄷ무선으로 하는것도 따로 안파는거같아요,19.07.05.,5
135,20138496470,배송 빠르고 아이가 좋아합니다,19.07.05.,5
136,20138496470,스피커 박스는 좀 구겨져서 왓지만 기능은 문제 없어요.좋네요. 다만 뽁뽁이 하나 없는게 좀 그렇네요,19.07.04.,4
137,20138496470,카카오미니있는데 c로 또삿네요 완전 짱!!,19.07.04.,5
138,20138496470,매우 만족합니당 ㅎㅎ번창하십시오,19.07.04.,5
139,20138496470,만족스럽습니다 좋아요,19.07.04.,5
140,20138496470,좋습니다 만족합니다,19.07.04.,5
141,20138496470,친구 생일선물로 사줬는데 엄청 맘에 들어해요얘랑 스무고개도 하면서 잘노네요,19.07.03.,5
142,20138496470,너무귀여워요. 좋아요,19.07.03.,5
143,20138496470,똑똑하고 좋아요 잘쓰고 있어요 집들이 선물로 좋았어요 선물받은 지인도 만족해해요,19.07.03.,5
144,20138496470,선물하기 좋아요!!!!,19.07.02.,5
145,20138496470,후드라이언 귀엽네요 ㅎㅎ 잘쓸게요!!,19.06.30.,5
146,20138496470,배송이 잘왔네요 ㅎㅎ,19.06.30.,4
147,20138496470,편리하게 연결하였습니다 잘되요,19.06.29.,5
148,20138496470,사용중인데 선물용으로 구매했어요^^,19.06.27.,5
149,20138496470,빠른배송 쉬운 사용 만족임니다,19.06.27.,5
150,20138496470,잠잘때 틀어줘요 좋아요,19.06.27.,5
151,20138496470,빠른배송 좋아요 ^^,19.06.27.,5
152,20138496470,배송이 정말 빨아서 좋아요,19.06.26.,5
153,20138496470,빠르게 잘받았습니다,19.06.26.,5
154,20138496470,가성비 갑!최곱니다!,19.06.26.,5
155,20138496470,"빠르게 , 그리고 포장도 꼼꼼히 잘 왔습니다. 감사합니다.",19.06.26.,5
156,20138496470,아이가 너무 좋아하네요빠른배송 감사합니다.,19.06.26.,5
157,20138496470,배송 안전하고 잘 포장해주셨네요,19.06.25.,5
158,20138496470,알람으로 쓰기 좋제요.... 카카오미니 가격보다 멜론 사용료에 치인다는...,19.06.24.,1
159,20138496470,배송 빠르고 제품 좋아요~^^,19.06.24.,5
160,20138496470,좋아요~#~~~~^^,19.06.24.,5
161,20138496470,음악 많이 듣는사람은 조음ㅎㅎ,19.06.23.,5
162,20138496470,아주 좋아요 카카오미니 최고,19.06.23.,5
163,20138496470,일상에서 유용하게 사용하는 것에 재미를 느낄수 있어서 좋았어요,19.06.20.,3
164,20138496470,귀염 귀염 네요근데아래쪽 어덥터는 원래 없는건지?,19.06.20.,5
165,20138496470,포장이 꼼꼼해서 좋았어요,19.06.18.,5
166,20138496470,집들이 선물용 👍,19.06.18.,5
167,20138496470,선물로 산건데 괜찮네요!!,19.06.17.,4
168,20138496470,카카오 ㅋㅋ 완전 좋음,19.06.17.,5
169,20138496470,만족 만족 카카오 좋음,19.06.17.,5
170,20138496470,배송도 빠르고 정확해 좋았어요,19.06.16.,3
171,20138496470,대화가 가능한 천재친구 생긴느낌 ㅋㅋㅋ공간 분위기 음악틀때도 짱이에요 움직이는건 제 입만 움직이는거라 ㅎㅎ,19.06.16.,5
